location	lat	log	date	total_cases	percent_world
Afghanistan	33.93911	67.709953	2019-12-31	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-01	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-02	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-03	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-04	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-05	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-06	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-07	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-08	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-09	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-10	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-11	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-12	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-13	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-14	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-15	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-16	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-17	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-18	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-19	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-20	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-21	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-22	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-23	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-24	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-25	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-26	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-27	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-28	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-29	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-30	0	0.0000000
Afghanistan	33.93911	67.709953	2020-01-31	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-01	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-02	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-03	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-04	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-05	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-06	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-07	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-08	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-09	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-10	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-11	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-12	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-13	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-14	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-15	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-16	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-17	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-18	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-19	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-20	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-21	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-22	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-23	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-24	0	0.0000000
Afghanistan	33.93911	67.709953	2020-02-25	1	0.0012479
Afghanistan	33.93911	67.709953	2020-02-26	1	0.0012346
Afghanistan	33.93911	67.709953	2020-02-27	1	0.0012179
Afghanistan	33.93911	67.709953	2020-02-28	1	0.0011994
Afghanistan	33.93911	67.709953	2020-02-29	1	0.0011734
Afghanistan	33.93911	67.709953	2020-03-01	1	0.0011489
Afghanistan	33.93911	67.709953	2020-03-02	1	0.0011221
Afghanistan	33.93911	67.709953	2020-03-08	4	0.0037563
Afghanistan	33.93911	67.709953	2020-03-11	7	0.0058212
Afghanistan	33.93911	67.709953	2020-03-15	10	0.0062969
Afghanistan	33.93911	67.709953	2020-03-16	16	0.0093477
Afghanistan	33.93911	67.709953	2020-03-17	21	0.0113572
Afghanistan	33.93911	67.709953	2020-03-18	22	0.0109255
Afghanistan	33.93911	67.709953	2020-03-19	22	0.0099470
Afghanistan	33.93911	67.709953	2020-03-20	22	0.0087461
Afghanistan	33.93911	67.709953	2020-03-21	24	0.0084837
Afghanistan	33.93911	67.709953	2020-03-22	24	0.0075724
Afghanistan	33.93911	67.709953	2020-03-23	34	0.0096882
Afghanistan	33.93911	67.709953	2020-03-24	40	0.0101565
Afghanistan	33.93911	67.709953	2020-03-25	42	0.0096613
Afghanistan	33.93911	67.709953	2020-03-26	75	0.0154021
Afghanistan	33.93911	67.709953	2020-03-27	75	0.0137037
Afghanistan	33.93911	67.709953	2020-03-28	91	0.0148782
Afghanistan	33.93911	67.709953	2020-03-29	106	0.0157061
Afghanistan	33.93911	67.709953	2020-03-30	114	0.0155587
Afghanistan	33.93911	67.709953	2020-03-31	141	0.0177076
